dataset,seed_no,measurement_type,measurement_num,EXTREME_pixel_observe,measurement_loss,MSE_loss,noise,round
mnist,2026,gaussian_block_adaptive,30,NA,33.60274639915201,0.03406654944803648,0_1,0
mnist,2026,gaussian_block_adaptive,30,NA,78.61765482105513,0.09619119605869977,0_1,1
mnist,2026,gaussian_block_adaptive,30,NA,23.39341178753027,0.02466186737982466,0_1,2
mnist,2026,gaussian_block_adaptive,40,NA,33.29759993137158,0.02101866513922404,0_1,0
mnist,2026,gaussian_block_adaptive,40,NA,56.72363310507144,0.040724863051928135,0_1,1
mnist,2026,gaussian_block_adaptive,40,NA,73.40251138128491,0.0407666952119986,0_1,2
mnist,2026,gaussian_block_adaptive,50,NA,48.76573369863486,0.029075193718908845,0_1,0
mnist,2026,gaussian_block_adaptive,50,NA,76.22725112748975,0.06542205398401468,0_1,1
mnist,2026,gaussian_block_adaptive,50,NA,70.60519809867455,0.03895227304073323,0_1,2
mnist,2026,gaussian_block_adaptive,10,NA,23.88209759422149,0.05247963858638057,0_5,0
mnist,2026,gaussian_block_adaptive,10,NA,29.525436892379012,0.0674378123355649,0_5,1
mnist,2026,gaussian_block_adaptive,10,NA,33.98131634419347,0.10865727052162047,0_5,2
mnist,2026,gaussian_block_adaptive,20,NA,33.71008384171601,0.0788866186707157,0_5,0
mnist,2026,gaussian_block_adaptive,20,NA,31.334408075215585,0.07550045546806733,0_5,1
mnist,2026,gaussian_block_adaptive,20,NA,43.93095871603323,0.08921336130189174,0_5,2
mnist,2026,gaussian_block_adaptive,30,NA,22.20466557819988,0.03058988278358205,0_5,0
mnist,2026,gaussian_block_adaptive,30,NA,77.39006290957117,0.06573863860905187,0_5,1
mnist,2026,gaussian_block_adaptive,30,NA,79.07059032729066,0.0416223282532769,0_5,2
mnist,2026,gaussian_block_adaptive,40,NA,57.395958193960084,0.05359131431818522,0_5,0
mnist,2026,gaussian_block_adaptive,40,NA,47.22692428472705,0.032606223065150625,0_5,1
mnist,2026,gaussian_block_adaptive,40,NA,68.25409742141582,0.04825199428234725,0_5,2
mnist,2026,gaussian_block_adaptive,50,NA,50.91288732583931,0.03375130212374793,0_5,0
mnist,2026,gaussian_block_adaptive,50,NA,83.67424392651532,0.12782654713133032,0_5,1
mnist,2026,gaussian_block_adaptive,50,NA,48.94679625750321,0.035529657502893684,0_5,2
mnist,2026,gaussian_block_adaptive,10,NA,21.601355935965866,0.10871985389193435,1_5,0
mnist,2026,gaussian_block_adaptive,10,NA,39.091549028056534,0.04594202023094939,1_5,1
mnist,2026,gaussian_block_adaptive,10,NA,14.59195709562161,0.0395466776274825,1_5,2
mnist,2026,gaussian_block_adaptive,20,NA,41.57511529708303,0.07099247838344244,1_5,0
mnist,2026,gaussian_block_adaptive,20,NA,76.185929562673,0.042397876317947,1_5,1
mnist,2026,gaussian_block_adaptive,20,NA,44.789419827701785,0.09162355864664758,1_5,2
mnist,2026,gaussian_block_adaptive,30,NA,29.002099691822988,0.03611953186722171,1_5,0
mnist,2026,gaussian_block_adaptive,30,NA,40.83305261931436,0.06230778386681214,1_5,1
mnist,2026,gaussian_block_adaptive,30,NA,37.85543680117316,0.032312539581953466,1_5,2
mnist,2026,gaussian_block_adaptive,40,NA,46.06048786889677,0.01790450421777089,1_5,0
mnist,2026,gaussian_block_adaptive,40,NA,50.99809540111645,0.04019616379981918,1_5,1
mnist,2026,gaussian_block_adaptive,40,NA,69.92921820548483,0.0865417688693229,1_5,2
mnist,2026,gaussian_block_adaptive,50,NA,48.55750148590621,0.03148979760882972,1_5,0
mnist,2026,gaussian_block_adaptive,50,NA,75.08168767181255,0.06570534502113555,1_5,1
mnist,2026,gaussian_block_adaptive,50,NA,51.1932540176844,0.04861516142574621,1_5,2
mnist,2026,gaussian_block_adaptive,10,NA,24.55575541101034,0.06506297356459097,5_0,0
mnist,2026,gaussian_block_adaptive,10,NA,20.563512984707565,0.05358886407400603,5_0,1
mnist,2026,gaussian_block_adaptive,10,NA,15.765565099722565,0.10596143155165254,5_0,2
mnist,2026,gaussian_block_adaptive,20,NA,55.6933099086648,0.029754955175553363,5_0,0
mnist,2026,gaussian_block_adaptive,20,NA,67.44845163749501,0.11167570484945692,5_0,1
mnist,2026,gaussian_block_adaptive,20,NA,61.232256234456244,0.030371350796465475,5_0,2
mnist,2026,gaussian_block_adaptive,30,NA,72.70291225392417,0.04587639664856902,5_0,0
mnist,2026,gaussian_block_adaptive,30,NA,84.73939111871212,0.051651912775654236,5_0,1
mnist,2026,gaussian_block_adaptive,30,NA,45.39130305535614,0.03242154310657971,5_0,2
mnist,2026,gaussian_block_adaptive,40,NA,58.544550043973445,0.04285326655779796,5_0,0
mnist,2026,gaussian_block_adaptive,40,NA,92.6152501327047,0.05958700039266137,5_0,1
mnist,2026,gaussian_block_adaptive,40,NA,71.729393037667,0.03290194417465737,5_0,2
mnist,2026,gaussian_block_adaptive,50,NA,60.186005671926296,0.05965534297328131,5_0,0
mnist,2026,gaussian_block_adaptive,50,NA,66.36584390166969,0.05046614670535308,5_0,1
mnist,2026,gaussian_block_adaptive,50,NA,77.71657831340833,0.029103154543704886,5_0,2
mnist,2026,gaussian_block_adaptive,10,NA,63.85379767301507,0.16500465847455,10_0,0
mnist,2026,gaussian_block_adaptive,10,NA,94.17953403139843,0.07629592298965528,10_0,1
mnist,2026,gaussian_block_adaptive,10,NA,32.049337683099736,0.09039676754886546,10_0,2
mnist,2026,gaussian_block_adaptive,20,NA,75.76165622046317,0.026306548848616454,10_0,0
mnist,2026,gaussian_block_adaptive,20,NA,99.52800760719823,0.10128149823934057,10_0,1
mnist,2026,gaussian_block_adaptive,20,NA,71.51330705845918,0.07571126684637908,10_0,2
mnist,2026,gaussian_block_adaptive,30,NA,136.2016714010843,0.05154563389006931,10_0,0
mnist,2026,gaussian_block_adaptive,30,NA,128.17868926400322,0.04174317041984127,10_0,1
mnist,2026,gaussian_block_adaptive,30,NA,101.16838792316528,0.0646932069662163,10_0,2
mnist,2026,gaussian_block_adaptive,40,NA,143.73543561396335,0.0595768343180333,10_0,0
mnist,2026,gaussian_block_adaptive,40,NA,67.03778517997587,0.05509525361306196,10_0,1
mnist,2026,gaussian_block_adaptive,40,NA,120.55029041694156,0.07454858348031418,10_0,2
mnist,2026,gaussian_block_adaptive,50,NA,116.65706863953386,0.0760389219296393,10_0,0
mnist,2026,gaussian_block_adaptive,50,NA,135.9448044318388,0.0502906876902327,10_0,1
mnist,2026,gaussian_block_adaptive,50,NA,129.95834050147695,0.05040165424320935,10_0,2
mnist,2026,gaussian_block_adaptive,10,NA,88.53151547436286,0.15197694369976272,20_0,0
mnist,2026,gaussian_block_adaptive,10,NA,163.25721322337802,0.07330490423148911,20_0,1
mnist,2026,gaussian_block_adaptive,10,NA,293.4023759781066,0.09500498395179195,20_0,2
mnist,2026,gaussian_block_adaptive,20,NA,387.1642244412197,0.09075823368189287,20_0,0
mnist,2026,gaussian_block_adaptive,20,NA,190.40284709060532,0.10334741411813678,20_0,1
mnist,2026,gaussian_block_adaptive,20,NA,323.9806299204321,0.09190155992375768,20_0,2
mnist,2026,gaussian_block_adaptive,30,NA,355.3772478264293,0.11883314324938557,20_0,0
mnist,2026,gaussian_block_adaptive,30,NA,389.0283946051235,0.08119216264721552,20_0,1
mnist,2026,gaussian_block_adaptive,30,NA,248.12752636194728,0.092625477268447,20_0,2
mnist,2026,gaussian_block_adaptive,40,NA,245.62011751453647,0.08735169100971969,20_0,0
mnist,2026,gaussian_block_adaptive,40,NA,381.3248539080371,0.07754075721044475,20_0,1
mnist,2026,gaussian_block_adaptive,40,NA,449.6476196604275,0.07760918396443933,20_0,2
mnist,2026,gaussian_block_adaptive,50,NA,259.4085154253641,0.06977282776191765,20_0,0
mnist,2026,gaussian_block_adaptive,50,NA,290.5003046451133,0.06650335603298735,20_0,1
mnist,2026,gaussian_block_adaptive,50,NA,368.07239074356875,0.14760917202059246,20_0,2
mnist,2026,gaussian_block_adaptive,10,NA,154.02204798485718,0.204613938743758,25_0,0
mnist,2026,gaussian_block_adaptive,10,NA,216.34879047912037,0.13210608662835707,25_0,1
mnist,2026,gaussian_block_adaptive,10,NA,217.52037790274258,0.07843519330839549,25_0,2
mnist,2026,gaussian_block_adaptive,20,NA,246.96662831942285,0.13916952136920188,25_0,0
mnist,2026,gaussian_block_adaptive,20,NA,601.6777316639418,0.1102914552599065,25_0,1
mnist,2026,gaussian_block_adaptive,20,NA,202.51962156901163,0.11177603464222798,25_0,2
mnist,2026,gaussian_block_adaptive,30,NA,553.2915697953606,0.10951065348288658,25_0,0
mnist,2026,gaussian_block_adaptive,30,NA,436.6990832740501,0.09527477077843453,25_0,1
mnist,2026,gaussian_block_adaptive,30,NA,390.8210023532036,0.09185775736421668,25_0,2
mnist,2026,gaussian_block_adaptive,40,NA,490.7099558714464,0.04477645913631554,25_0,0
mnist,2026,gaussian_block_adaptive,40,NA,569.2711925331346,0.12668791188409084,25_0,1
mnist,2026,gaussian_block_adaptive,40,NA,457.3752221960094,0.10102005436156261,25_0,2
mnist,2026,gaussian_block_adaptive,50,NA,516.4640890683286,0.10412034626531975,25_0,0
mnist,2026,gaussian_block_adaptive,50,NA,404.3090802927487,0.10664219674537946,25_0,1
mnist,2026,gaussian_block_adaptive,50,NA,420.1635363189821,0.0857000792696837,25_0,2
mnist,2026,gaussian_block_adaptive,10,NA,145.89746837524467,0.1136921416077063,30_0,0
mnist,2026,gaussian_block_adaptive,10,NA,234.71649652207626,0.12119239328577526,30_0,1
mnist,2026,gaussian_block_adaptive,10,NA,140.14855181557587,0.15023394593101516,30_0,2
mnist,2026,gaussian_block_adaptive,20,NA,783.4664689282417,0.12343025589460759,30_0,0
mnist,2026,gaussian_block_adaptive,20,NA,232.8277900673332,0.10906027966226545,30_0,1
mnist,2026,gaussian_block_adaptive,20,NA,238.0698824293053,0.14550798746801444,30_0,2
mnist,2026,gaussian_block_adaptive,30,NA,538.3928554701594,0.12365953826240238,30_0,0
mnist,2026,gaussian_block_adaptive,30,NA,757.4759387027722,0.15132863305250716,30_0,1
mnist,2026,gaussian_block_adaptive,30,NA,603.7707048696211,0.1317505775386735,30_0,2
mnist,2026,gaussian_block_adaptive,40,NA,982.0718592865699,0.14937004386228125,30_0,0
mnist,2026,gaussian_block_adaptive,40,NA,709.149475252488,0.10126720480214857,30_0,1
mnist,2026,gaussian_block_adaptive,40,NA,324.42402837366353,0.09081131522155075,30_0,2
mnist,2026,gaussian_block_adaptive,50,NA,1052.4964411609353,0.1229306675048387,30_0,0
mnist,2026,gaussian_block_adaptive,50,NA,691.5768992165606,0.07432944008851972,30_0,1
mnist,2026,gaussian_block_adaptive,50,NA,551.6625586439833,0.09327120878700902,30_0,2
mnist,2030,gaussian_block_adaptive,10,NA,53.70414199359236,0.11665683121879293,0_0,0
mnist,2030,gaussian_block_adaptive,10,NA,18.064361297396662,0.14300776760540262,0_0,1
mnist,2030,gaussian_block_adaptive,10,NA,39.19110419245784,0.10242570088794911,0_0,2
mnist,2030,gaussian_block_adaptive,20,NA,72.03672807874105,0.12473155132004599,0_0,0
mnist,2030,gaussian_block_adaptive,20,NA,76.02470490140374,0.09233472284544221,0_0,1
mnist,2030,gaussian_block_adaptive,20,NA,72.71158111604117,0.13363360076407527,0_0,2
mnist,2030,gaussian_block_adaptive,30,NA,57.94718985175306,0.10511954309671812,0_0,0
mnist,2030,gaussian_block_adaptive,30,NA,68.72719217857002,0.16295892644389628,0_0,1
mnist,2030,gaussian_block_adaptive,30,NA,59.46097976221108,0.07763569678542831,0_0,2
mnist,2030,gaussian_block_adaptive,40,NA,95.1488399901184,0.09408624760201131,0_0,0
mnist,2030,gaussian_block_adaptive,40,NA,58.42149946663979,0.0701894015147118,0_0,1
mnist,2030,gaussian_block_adaptive,40,NA,37.81568904916765,0.038457324885972734,0_0,2
mnist,2030,gaussian_block_adaptive,50,NA,79.77074991542908,0.049501704298748284,0_0,0
mnist,2030,gaussian_block_adaptive,50,NA,128.27102397559673,0.09003309248092914,0_0,1
mnist,2030,gaussian_block_adaptive,50,NA,109.47472133012381,0.06608927113553277,0_0,2
mnist,2030,gaussian_block_adaptive,10,NA,85.79840497082051,0.12511223642950656,0_1,0
mnist,2030,gaussian_block_adaptive,10,NA,40.575588199075625,0.1786373374043361,0_1,1
mnist,2030,gaussian_block_adaptive,10,NA,35.620537559540736,0.1181767831464158,0_1,2
mnist,2030,gaussian_block_adaptive,20,NA,47.62149857956031,0.13131202816608495,0_1,0
mnist,2030,gaussian_block_adaptive,20,NA,57.85933305366429,0.13909875714845066,0_1,1
mnist,2030,gaussian_block_adaptive,20,NA,75.47910454632547,0.03999325815599318,0_1,2
mnist,2030,gaussian_block_adaptive,30,NA,62.167958728616526,0.12490798884978561,0_1,0
mnist,2030,gaussian_block_adaptive,30,NA,81.62583048070469,0.1506715192799038,0_1,1
